ejecucion,generacion,mejor,promedio,peor
3,152,-0.002223,-0.034299,-0.258135
3,153,-0.002223,-0.034905,-0.212769
3,154,-0.002223,-0.052869,-0.265007
3,155,-0.002223,-0.040402,-0.224803
3,156,-0.002223,-0.034460,-0.144727
3,157,-0.002223,-0.042176,-0.167453
3,158,-0.002223,-0.032537,-0.150909
3,159,-0.002223,-0.043809,-0.260469
3,160,-0.002223,-0.035975,-0.133093
3,161,-0.002223,-0.040074,-0.166200
3,162,-0.002223,-0.035805,-0.153526
3,163,-0.002223,-0.032407,-0.205209
3,164,-0.002223,-0.038640,-0.139781
3,165,-0.002223,-0.050816,-0.189689
3,166,-0.002223,-0.045952,-0.152417
3,167,-0.002223,-0.041374,-0.228529
3,168,-0.002223,-0.035913,-0.201223
3,169,-0.002223,-0.023710,-0.103301
3,170,-0.002223,-0.028627,-0.107829
3,171,-0.002223,-0.058731,-0.241282
3,172,-0.002223,-0.073218,-0.364904
3,173,-0.002223,-0.068385,-0.332642
3,174,-0.002223,-0.041481,-0.149456
3,175,-0.002223,-0.033668,-0.161484
3,176,-0.002223,-0.028392,-0.155459
3,177,-0.002223,-0.023111,-0.091534
3,178,-0.002223,-0.040184,-0.161126
3,179,-0.002223,-0.036454,-0.115306
3,180,-0.002223,-0.039422,-0.157336
3,181,-0.002223,-0.040127,-0.209148
3,182,-0.002223,-0.024796,-0.099689
3,183,-0.002223,-0.033236,-0.148456
3,184,-0.002223,-0.022513,-0.139100
3,185,-0.002223,-0.028069,-0.177174
3,186,-0.002223,-0.019610,-0.066457
3,187,-0.002223,-0.036965,-0.162620
3,188,-0.002223,-0.039143,-0.148381
3,189,-0.002223,-0.029711,-0.122662
3,190,-0.002223,-0.039388,-0.183122
3,191,-0.002223,-0.032471,-0.203068
3,192,-0.002223,-0.039139,-0.210451
3,193,-0.002223,-0.031799,-0.306998
3,194,-0.002223,-0.041882,-0.185403
3,195,-0.002223,-0.039108,-0.197546
3,196,-0.002223,-0.035306,-0.176393
3,197,-0.002223,-0.029251,-0.165330
3,198,-0.002202,-0.045850,-0.227418
3,199,-0.002202,-0.027383,-0.207070
3,200,-0.002199,-0.020916,-0.093040
4,1,-0.002931,-4.798874,-11.871130
4,2,-0.002931,-5.945190,-24.206957
4,3,-0.002924,-3.208219,-15.299645
4,4,-0.002924,-3.442970,-11.874865
4,5,-0.002924,-2.862912,-13.177461
4,6,-0.002924,-2.093403,-14.688155
4,7,-0.002924,-1.234400,-5.491931
4,8,-0.002924,-1.579013,-6.616923
4,9,-0.002924,-1.779340,-9.684295
4,10,-0.002924,-0.853018,-5.120983
4,11,-0.002924,-0.450429,-2.092499
4,12,-0.002924,-0.352484,-1.512464
4,13,-0.002924,-0.478996,-1.748616
4,14,-0.002924,-0.207514,-1.101101
4,15,-0.002924,-0.282715,-1.373915
4,16,-0.002924,-0.304995,-2.411374
4,17,-0.002924,-0.334652,-1.875177
4,18,-0.002924,-0.263734,-1.236710
4,19,-0.002924,-0.200258,-1.493510
4,20,-0.002924,-0.132378,-0.781785
4,21,-0.002924,-0.227498,-1.148605
4,22,-0.002924,-0.223163,-1.859906
4,23,-0.002924,-0.130169,-0.843952
4,24,-0.002924,-0.162518,-0.919015
4,25,-0.002924,-0.138906,-1.119562
4,26,-0.002924,-0.076552,-0.491977
4,27,-0.002924,-0.190281,-1.391573
4,28,-0.002924,-0.180520,-1.051974
4,29,-0.002924,-0.113677,-0.520203
4,30,-0.002924,-0.138343,-0.762684
4,31,-0.002924,-0.114231,-0.782858
4,32,-0.002924,-0.147301,-1.166330
4,33,-0.002924,-0.115334,-0.964250
